Stock,Model,MSE,RMSE,MAE,R2
ABBV,RF,521.1233651769512,22.828126624341106,15.237229645434423,-0.14066212866464745
GOOGL,RF,1804.1892469676407,42.47574892768391,34.01202576876859,-1.4264178460562555
GOOG,RF,1867.7517668886926,43.217493759919634,34.73004528690758,-1.4589784011497202
AMZN,RF,3500.6460063601417,59.166257329327,48.18571529674263,-1.6372811329388126
AAPL,RF,10625.570791357486,103.08040934803027,79.23415628800257,-1.4139955233292278
BAC,RF,3.968030473530978,1.9919915847038556,0.9409657504705115,0.95466793978547
BRK-B,RF,14407.656520208333,120.03189792804383,91.08738259294297,-1.076619325374935
AVGO,RF,4856.597260205842,69.68929085738958,46.55297834068191,-0.6370905763041441
COST,RF,117578.25187183477,342.89685310867867,259.1084050306833,-1.3044777695743686
XOM,RF,651.7247598268597,25.528900482137097,15.600953577883665,-0.350355606402015
HD,RF,24364.675752449635,156.0918824040816,129.98532329692313,-2.2408655742523074
JNJ,RF,5401.825481564924,73.49711206275335,64.88194387028443,-3.5299187785702992
JPM,RF,6329.279599327419,79.55676966372766,64.27397713404173,-1.8527100900216027
LLY,RF,93681.90270413678,306.07499522851714,188.55568875284735,-0.6117298603564141
MA,RF,5091.766285049219,71.35661346398958,45.22767993183666,-0.09962698044257223
META,RF,14682.465182515944,121.17122258406054,76.97744977712998,0.5068584825413147
MSFT,RF,40073.19251044486,200.18289764723875,164.2826010776469,-2.0610096013751638
NFLX,RF,16668.807019168573,129.10773415705418,69.05390496549474,0.5213730707730864
NVDA,RF,2918.1512067604026,54.01991490885933,34.92815134421735,-0.7151493195168497
ORCL,RF,2631.8941696790853,51.301989919291486,36.173019363282286,-0.985400045535036
PG,RF,4018.334076263881,63.3903310944491,50.73143450016251,-1.7849448275007531
TSLA,RF,302.61347417345644,17.39578897818252,11.912508963804981,0.9285041923342559
UNH,RF,63240.80808332996,251.4772516219508,212.77078107585075,-2.520450694363373
V,RF,1183.2845960131876,34.39890399435987,20.35622992772367,0.2863280854403796
WMT,RF,588.8774463180997,24.26679719942662,17.245542113618548,-0.9356839755154729
