2025-05-01 01:11:53,899 - MainProcess - INFO - Starting Transformer model training and evaluation...
2025-05-01 01:11:54,388 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:11:54,388 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:11:58,232 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.080036
2025-05-01 01:11:58,233 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:11:58,268 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.031583
2025-05-01 01:11:58,268 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:11:59,379 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.017592
2025-05-01 01:11:59,379 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:11:59,449 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.013121
2025-05-01 01:11:59,449 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:12:00,496 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.009018
2025-05-01 01:12:00,496 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:12:00,565 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.004034
2025-05-01 01:12:00,566 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:12:01,610 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.003138
2025-05-01 01:12:01,610 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:12:01,709 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.002794
2025-05-01 01:12:01,709 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:12:02,713 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.001733
2025-05-01 01:12:03,014 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.001863
2025-05-01 01:12:10,146 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:10,420 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:13,890 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.010296
2025-05-01 01:12:13,890 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:13,891 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.105791
2025-05-01 01:12:13,891 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:15,125 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.011503
2025-05-01 01:12:15,126 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 200)
