2025-05-01 01:22:43,053 - MainProcess - INFO - Starting Transformer model training and evaluation...
2025-05-01 01:22:43,355 - MainProcess - INFO - 
===== Starting Hyperparameter Set 1: {'batch_size': 128, 'epochs': 5, 'walkforward_retrain_step': 200} =====
2025-05-01 01:22:43,617 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:22:43,617 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:22:47,486 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.037777
2025-05-01 01:22:47,487 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:22:47,593 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.029433
2025-05-01 01:22:47,594 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:22:48,696 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.014029
2025-05-01 01:22:48,697 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:22:48,769 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.006719
2025-05-01 01:22:48,770 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:22:49,831 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.003595
2025-05-01 01:22:49,832 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:22:49,932 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.002697
2025-05-01 01:22:49,933 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:22:50,995 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.001953
2025-05-01 01:22:50,996 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, initial training)
2025-05-01 01:22:51,116 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.001648
2025-05-01 01:22:51,117 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, initial training)
2025-05-01 01:22:52,139 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, initial training) - Loss: 0.001613
2025-05-01 01:22:52,471 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, initial training) - Loss: 0.001416
2025-05-01 01:23:00,222 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:00,522 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:04,092 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.079020
2025-05-01 01:23:04,092 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:04,160 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.351654
2025-05-01 01:23:04,161 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:05,337 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.008666
2025-05-01 01:23:05,338 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:05,423 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.168862
2025-05-01 01:23:05,424 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:06,600 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.005567
2025-05-01 01:23:06,601 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:06,706 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.053822
2025-05-01 01:23:06,707 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:07,804 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.001533
2025-05-01 01:23:07,805 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:07,985 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.036040
2025-05-01 01:23:07,987 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:23:09,045 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.000854
2025-05-01 01:23:09,211 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.024003
2025-05-01 01:23:15,746 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:16,082 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:19,637 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.396027
2025-05-01 01:23:19,638 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:19,734 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 1.014560
2025-05-01 01:23:19,735 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:20,932 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.027811
2025-05-01 01:23:20,934 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 400)
