Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,183.39989,13.542521,10.824397,0.8414681553840637,64,40,25,5
MSFT,508.4974,22.549887,17.844957,0.8995857238769531,64,40,25,5
NVDA,122.61783,11.073294,7.4270315,0.9339288473129272,64,40,25,5
AMZN,268.08548,16.373316,11.716603,0.7820587158203125,64,40,25,5
GOOG,119.35636,10.925034,8.473233,0.842911422252655,64,40,25,5
META,2417.935,49.172504,32.96362,0.8953439593315125,64,40,25,5
BRK-B,590.59546,24.30217,17.604223,0.8894620537757874,64,40,25,5
GOOGL,148.4866,12.185508,9.310657,0.8000184893608093,64,40,25,5
AVGO,250.81996,15.8372965,10.137445,0.9146293997764587,64,40,25,5
TSLA,3045.7622,55.188423,40.351368,0.25475335121154785,64,40,25,5
LLY,2513.5051,50.13487,36.30524,0.9593294858932495,64,40,25,5
JPM,181.9113,13.48745,9.943765,0.8968539834022522,64,40,25,5
WMT,18.512451,4.30261,2.8854022,0.9265806674957275,64,40,25,5
V,212.735,14.585438,11.075173,0.8722339868545532,64,40,25,5
XOM,39.42983,6.2793174,5.040415,0.9329900741577148,64,40,25,5
MA,1349.1403,36.730644,23.972061,0.7141381502151489,64,40,25,5
UNH,1044.105,32.312614,24.889807,0.7436679601669312,64,40,25,5
ORCL,98.36294,9.9178095,7.094637,0.9119882583618164,64,40,25,5
NFLX,4731.176,68.78355,50.411053,0.8903481364250183,64,40,25,5
COST,10169.025,100.84158,49.8817,0.7366970777511597,64,40,25,5
JNJ,40.54516,6.367508,5.24755,0.17039811611175537,64,40,25,5
PG,58.680115,7.6602945,5.7191515,0.7627224922180176,64,40,25,5
ABBV,87.12677,9.334172,7.499711,0.9048284292221069,64,40,25,5
HD,681.1218,26.09831,19.653486,0.6570260524749756,64,40,25,5
BAC,6.1842737,2.48682,1.9054378,0.8097262382507324,64,40,25,5
