Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,643.5636,25.368555,19.993319,0.4437001347541809,128,5,200,1
MSFT,4409.5845,66.4047,58.87223,0.1292283535003662,128,5,200,1
NVDA,2277.623,47.72445,31.43546,-0.22727012634277344,128,5,200,1
AMZN,1534.6095,39.17409,26.132353,-0.2475677728652954,128,5,200,1
GOOG,881.56854,29.69122,24.636263,-0.16025960445404053,128,5,200,1
META,12575.419,112.140175,92.75178,0.45569533109664917,128,5,200,1
BRK-B,3892.556,62.39035,48.944637,0.27145546674728394,128,5,200,1
GOOGL,642.6418,25.35038,21.174845,0.13449114561080933,128,5,200,1
AVGO,1173.9696,34.26324,25.965658,0.6004206538200378,128,5,200,1
TSLA,16754.094,129.4376,103.404106,-3.0994443893432617,128,5,200,1
LLY,17761.94,133.27393,103.89599,0.7125976085662842,128,5,200,1
JPM,1508.6196,38.840954,30.210619,0.14459359645843506,128,5,200,1
WMT,92.38396,9.611657,7.1700587,0.6336104869842529,128,5,200,1
V,1866.4073,43.20194,38.70523,-0.12094151973724365,128,5,200,1
XOM,426.16016,20.643646,16.910927,0.27575236558914185,128,5,200,1
MA,4456.6196,66.75792,53.697147,0.055711567401885986,128,5,200,1
UNH,4542.7207,67.39971,57.012238,-0.1152564287185669,128,5,200,1
ORCL,678.4561,26.04719,21.057848,0.3929412364959717,128,5,200,1
NFLX,17156.602,130.98322,99.162155,0.6023708581924438,128,5,200,1
COST,19892.266,141.03995,113.7402,0.4849366545677185,128,5,200,1
JNJ,259.8081,16.118565,13.352603,-4.315981388092041,128,5,200,1
PG,282.09448,16.795668,13.213707,-0.14067041873931885,128,5,200,1
ABBV,622.7798,24.955557,19.899303,0.319716215133667,128,5,200,1
HD,1694.4965,41.16426,33.475964,0.1467486023902893,128,5,200,1
BAC,34.70707,5.8912706,5.2689266,-0.06784486770629883,128,5,200,1
