ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0038271474,0.0018729136,0.004797687,0.0022600375,0.007614459,0.0048438706,0.005956909,0.0010225236,0.0049881767,0.022448605,0.0050937436,0.0052661216,0.0052053547,0.008663108,0.00595201,0.0020446072,0.011343896,0.005706927,0.0016165524,0.0019205294,0.0024458743
MSFT,0.000618454,0.0025424084,0.0012420128,0.0032779954,0.008120286,0.0035442545,0.0033903776,0.00071477116,0.0011203892,0.005910251,0.0030917467,0.0025629415,0.0034851534,0.0042077326,0.0027693259,0.004263628,0.004842977,0.00069617847,0.003168454,0.0032091741,0.004071536
NVDA,0.005739019,0.00364671,0.001533407,0.0005867981,0.003634484,0.0013377093,0.0024010937,0.0014983113,0.002577476,0.00459001,0.005116278,0.00076858513,0.003565264,0.0014129822,0.0054668663,0.0041854554,0.0025262735,0.004563034,0.003562892,0.0049253227,0.0021514348
AMZN,0.0011411696,0.005378838,0.0057417015,0.00089763635,0.0051963017,0.0035400663,0.0021379502,0.0016946946,0.001990248,0.0047384715,0.0034225467,0.0026388774,0.005647382,0.006225392,0.0020588913,0.0014439747,0.003573832,0.004344796,0.0034066038,0.0013579547,0.00775014
GOOG,0.006802112,0.0025550043,0.005786395,0.004200159,0.008274904,0.003662515,0.012025417,0.005920542,0.0017734,0.007731272,0.0022222803,0.00744904,0.0031227188,0.0062809694,0.0010137705,0.008986707,0.010455555,0.0024609729,0.0042866184,0.012609451,0.0010375396
META,0.0061847256,0.00088271115,0.0023895688,0.004600956,0.0043616365,0.0013914633,0.0019599195,0.0036395888,0.0018842103,0.0020420323,0.0017317774,0.0015166703,0.0030056376,0.0020373885,0.0045834337,0.0059281723,0.0033806346,0.0037193005,0.0027853556,0.0018015421,0.0018613358
BRK-B,0.0019786747,0.0011678581,0.0033808302,0.0038995307,0.00105794,0.004578003,0.0027652825,0.007265475,0.0039891466,0.0041908165,0.0022569147,0.0009635416,0.005397934,0.0035800587,0.004813668,0.0011539173,0.0046359464,0.0015565857,0.0026529394,0.008717712,0.005143104
GOOGL,0.004993695,0.0023492523,0.0034613842,0.0009791732,0.0025972803,0.001604118,0.0035659957,0.0015239507,0.002004414,0.006848647,0.0014024698,0.003562314,0.0011991194,0.003043716,0.0017202182,0.0010328167,0.003449177,0.0023675854,0.0011443733,0.0021489752,0.0009887338
AVGO,0.0018607565,0.0034212957,0.0024693138,0.004507108,0.0030495806,0.007082035,0.004202702,0.0043593203,0.0021204804,0.0023140078,0.0030006215,0.0018760269,0.0031458957,0.0053166766,0.006135568,0.0068258885,0.0071151685,0.0028796282,0.002432808,0.0030571506,0.002948943
TSLA,0.0034885795,0.003256702,0.006574063,0.006571249,0.0037880605,0.005539076,0.0028529544,0.003030257,0.003194595,0.0020348672,0.0042448263,0.009641205,0.002913214,0.0045783785,0.0036266504,0.0051018577,0.0070924084,0.0041425116,0.00435656,0.0065369937,0.005455882
LLY,0.0029008843,0.0037775156,0.008723153,0.003731892,0.0072778976,0.005592211,0.008401288,0.010453537,0.0014392242,0.0017981913,0.0020965482,0.0045770793,0.0030985465,0.0064883116,0.0025852886,0.0019541248,0.003916608,0.003379473,0.0014510433,0.0021011608,0.00747359
JPM,0.0027959603,0.004202922,0.003454589,0.0025352635,0.0017417086,0.0044209356,0.0031522883,0.0010784994,0.0011320839,0.0023898943,0.0021168934,0.0054206075,0.0028405928,0.005579746,0.0011848322,0.0019582184,0.0031013812,0.0033103053,0.007374783,0.008411744,0.0035347117
WMT,0.0036883068,0.00037736012,0.0035874927,0.00376324,0.0069406484,0.0021229174,0.0017188065,0.0013258785,0.0018776964,0.00081311335,0.0024565132,0.001705043,0.0014627458,0.0013883917,0.0018572746,0.0036301166,0.0045733466,0.00080783275,0.0025322044,0.00079818734,0.00053958804
V,0.006016022,0.0021986507,0.0020520303,0.0013453985,0.0098883845,0.0029477037,0.0009903874,0.00191453,0.0053570326,0.0074757407,0.0027797527,0.0016406303,0.010125816,0.0035288162,0.0064687375,0.0036149432,0.014936107,0.004123722,0.0028912532,0.0008466752,0.0032390603
XOM,0.0024682852,0.0051399437,0.012303804,0.003551137,0.0036045,0.0034831068,0.00091461913,0.0030608654,0.0047831354,0.0015990454,0.005580622,0.0066643534,0.0010447643,0.006748804,0.0056238817,0.0031594099,0.0010178759,0.0017790023,0.007964988,0.003950644,0.009644499
MA,0.001984516,0.002941493,0.003237348,0.00040404117,0.0009891692,0.004046604,0.0032226017,0.0008432299,0.0032653513,0.0032735474,0.001282853,0.002272625,0.0014184165,0.0018906408,0.0015238631,0.0005914493,0.002360915,0.002551183,0.0008323788,0.001179842,0.0011595223
UNH,0.0070822197,0.0063028885,0.0044131693,0.005157945,0.001242349,0.0048867296,0.008128,0.005397602,0.01184257,0.007771854,0.0004904434,0.0023203616,0.0048388857,0.0054295002,0.0051715313,0.005261792,0.0069731805,0.0025821447,0.0013483901,0.008098582,0.0022882908
ORCL,0.003465093,0.009327007,0.004131263,0.007388549,0.0019303933,0.0060217013,0.01011838,0.00526992,0.0047792494,0.008366932,0.012916887,0.0034454265,0.0018793646,0.004510124,0.012300829,0.00220694,0.0024403236,0.0109903775,0.011365683,0.0021089527,0.007310172
NFLX,0.00093920977,0.0013007942,0.0008022102,0.0025879422,0.0023925118,0.002456584,0.0017550385,0.0005654432,0.0021785435,0.0025099558,0.0009043704,0.001993043,0.002228593,0.0035670225,0.0020852855,0.0015383626,0.00064097694,0.0024639505,0.0023322399,0.0015278456,0.0027323447
COST,0.002692128,0.0023915514,0.008348416,0.0023100306,0.0024847793,0.0050730663,0.0031409333,0.0018609453,0.002804409,0.008434196,0.0020491737,0.002495529,0.008412014,0.0037239923,0.003510865,0.0039961967,0.0067311474,0.004045968,0.0039003068,0.006378485,0.00309929
JNJ,0.008497047,0.0021223885,0.0023532636,0.0047162483,0.0041024615,0.0040940796,0.0015440212,0.006680107,0.0064932387,0.008485011,0.0040273652,0.0076826094,0.008225623,0.011084906,0.0026065225,0.004242383,0.006943379,0.0039386633,0.005092596,0.001282686,0.0031950069
PG,0.004657041,0.0032293994,0.00066967064,0.00086105743,0.0064442884,0.0037958755,0.0013507222,0.0034662478,0.002265808,0.0036620148,0.0033072978,0.008410875,0.003710287,0.00246275,0.0050286744,0.0038789304,0.0025229666,0.0037273208,0.00059620367,0.0021476827,0.0021538811
ABBV,0.013059444,0.010877491,0.0056590918,0.004688322,0.007343155,0.009106594,0.0009987076,0.0035505327,0.0032487507,0.004932161,0.006570776,0.001928976,0.003670356,0.005281714,0.0067433193,0.0016504197,0.002370233,0.0014853432,0.0013731676,0.0064484114,0.0038908182
HD,0.0015856444,0.00063969585,0.0012455608,0.0009924539,0.005763811,0.0027252138,0.0035264844,0.0011035502,0.0009922357,0.0029040691,0.0021249235,0.0017393797,0.0016995635,0.0010090664,0.003041782,0.0026768735,0.002759038,0.0017877293,0.0017571597,0.00091196864,0.0016747653
BAC,0.0061440966,0.005326362,0.0027578056,0.0025185975,0.0019832882,0.006397427,0.00353651,0.0034022527,0.0050711064,0.0030998185,0.0016660839,0.0021457195,0.006260963,0.0029136282,0.0027461245,0.006426187,0.0022653632,0.0046478,0.0016637774,0.0056599686,0.0019708255
